"AssetID","AssetName","AssetCategory","AssetModel","AssetDescription","AssetLocation","AssetStatus","AssetAcquiredDate","AssetAcquiredDate","AssetOwner"
"1","Dell Monitor","SecurityEquipment","1250","Dell Monitor Description","Room101","UnAssigned","2023-12-12","2025-12-12"
"2","Laptop","Laptop","ModelABC","High-performance laptop","Room101","UnAssigned","2022-01-01","2024-01-01"
"3","Printer","Printer","ModelXYZ","Fast color printer","Room102","UnAssigned","2022-02-01","2024-02-01"
"4","Desktop","Desktop","Model123","Powerful desktop computer","Room103","UnAssigned","2022-03-01","2024-03-01"
"5","Monitor","Monitor","Model456","High-resolution monitor","Room104","UnAssigned","2022-04-01","2024-04-01"
"6","Projector","Projector","Model789","HD projector for presentations","Room105","UnAssigned","2022-05-01","2024-05-01"
"7","Scanner","Scanner","ModelDEF","Document scanner","Room106","UnAssigned","2022-06-01","2024-06-01"
"8","Phone","Phone","ModelGHI","Smartphone with advanced features","Room107","UnAssigned","2022-07-01","2024-07-01"
"9","Tablet","Tablet","ModelJKL","Portable tablet device","Room108","UnAssigned","2022-08-01","2024-08-01"
"10","Server","Server","ModelMNO","Enterprise-grade server","Room109","UnAssigned","2022-09-01","2024-09-01"
"11","Camera","Camera","ModelPQR","Professional-grade camera","Room110","UnAssigned","2022-10-01","2024-10-01"
"12","Laptop","Laptop","ModelABC","High-performance laptop","Room101","UnAssigned","2022-01-01","2024-01-01"
"13","Printer","Printer","ModelXYZ","Fast color printer","Room102","UnAssigned","2022-02-01","2024-02-01"
"14","Desktop","Desktop","Model123","Powerful desktop computer","Room103","UnAssigned","2022-03-01","2024-03-01"
"15","Monitor","Monitor","Model456","High-resolution monitor","Room104","UnAssigned","2022-04-01","2024-04-01"
"16","Projector","Projector","Model789","HD projector for presentations","Room105","UnAssigned","2022-05-01","2024-05-01"
"17","Scanner","Scanner","ModelDEF","Document scanner","Room106","UnAssigned","2022-06-01","2024-06-01"
"18","Phone","Phone","ModelGHI","Smartphone with advanced features","Room107","UnAssigned","2022-07-01","2024-07-01"
"19","Tablet","Tablet","ModelJKL","Portable tablet device","Room108","UnAssigned","2022-08-01","2024-08-01"
"20","Server","Server","ModelMNO","Enterprise-grade server","Room109","UnAssigned","2022-09-01","2024-09-01"
"21","Camera","Camera","ModelPQR","Professional-grade camera","Room110","UnAssigned","2022-10-01","2024-10-01"
"22","Laptop","Laptop","ModelABC","High-performance laptop","Room101","UnAssigned","2022-01-01","2024-01-01"
"23","Printer","Printer","ModelXYZ","Fast color printer","Room102","UnAssigned","2022-02-01","2024-02-01"
"24","Desktop","Desktop","Model123","Powerful desktop computer","Room103","UnAssigned","2022-03-01","2024-03-01"
"25","Monitor","Monitor","Model456","High-resolution monitor","Room104","UnAssigned","2022-04-01","2024-04-01"
"26","Projector","Projector","Model789","HD projector for presentations","Room105","UnAssigned","2022-05-01","2024-05-01"
"27","Scanner","Scanner","ModelDEF","Document scanner","Room106","UnAssigned","2022-06-01","2024-06-01"
"28","Phone","Phone","ModelGHI","Smartphone with advanced features","Room107","UnAssigned","2022-07-01","2024-07-01"
"29","Tablet","Tablet","ModelJKL","Portable tablet device","Room108","UnAssigned","2022-08-01","2024-08-01"
"30","Server","Server","ModelMNO","Enterprise-grade server","Room109","UnAssigned","2022-09-01","2024-09-01"
"31","Camera","Camera","ModelPQR","Professional-grade camera","Room110","UnAssigned","2022-10-01","2024-10-01"
"32","Laptop","Laptop","ModelABC","High-performance laptop","Room101","UnAssigned","2022-01-01","2024-01-01"
"33","Printer","Printer","ModelXYZ","Fast color printer","Room102","UnAssigned","2022-02-01","2024-02-01"
"34","Desktop","Desktop","Model123","Powerful desktop computer","Room103","UnAssigned","2022-03-01","2024-03-01"
"35","Monitor","Monitor","Model456","High-resolution monitor","Room104","UnAssigned","2022-04-01","2024-04-01"
"36","Projector","Projector","Model789","HD projector for presentations","Room105","UnAssigned","2022-05-01","2024-05-01"
"37","Scanner","Scanner","ModelDEF","Document scanner","Room106","UnAssigned","2022-06-01","2024-06-01"
"38","Phone","Phone","ModelGHI","Smartphone with advanced features","Room107","UnAssigned","2022-07-01","2024-07-01"
"39","Tablet","Tablet","ModelJKL","Portable tablet device","Room108","UnAssigned","2022-08-01","2024-08-01"
"40","Server","Server","ModelMNO","Enterprise-grade server","Room109","UnAssigned","2022-09-01","2024-09-01"
"41","Camera","Camera","ModelPQR","Professional-grade camera","Room110","UnAssigned","2022-10-01","2024-10-01"
"42","Laptop","Laptop","ModelABC","High-performance laptop","Room101","UnAssigned","2022-01-01","2024-01-01"
"43","Printer","Printer","ModelXYZ","Fast color printer","Room102","UnAssigned","2022-02-01","2024-02-01"
"44","Desktop","Desktop","Model123","Powerful desktop computer","Room103","UnAssigned","2022-03-01","2024-03-01"
"45","Monitor","Monitor","Model456","High-resolution monitor","Room104","UnAssigned","2022-04-01","2024-04-01"
"46","Projector","Projector","Model789","HD projector for presentations","Room105","UnAssigned","2022-05-01","2024-05-01"
"47","Scanner","Scanner","ModelDEF","Document scanner","Room106","UnAssigned","2022-06-01","2024-06-01"
"48","Phone","Phone","ModelGHI","Smartphone with advanced features","Room107","UnAssigned","2022-07-01","2024-07-01"
"49","Tablet","Tablet","ModelJKL","Portable tablet device","Room108","UnAssigned","2022-08-01","2024-08-01"
"50","Server","Server","ModelMNO","Enterprise-grade server","Room109","UnAssigned","2022-09-01","2024-09-01"
"51","Camera","Camera","ModelPQR","Professional-grade camera","Room110","UnAssigned","2022-10-01","2024-10-01"
"52","Laptop","Laptop","ModelABC","High-performance laptop","Room101","UnAssigned","2022-01-01","2024-01-01"
"53","Printer","Printer","ModelXYZ","Fast color printer","Room102","UnAssigned","2022-02-01","2024-02-01"
"54","Desktop","Desktop","Model123","Powerful desktop computer","Room103","UnAssigned","2022-03-01","2024-03-01"
"55","Monitor","Monitor","Model456","High-resolution monitor","Room104","UnAssigned","2022-04-01","2024-04-01"
"56","Projector","Projector","Model789","HD projector for presentations","Room105","UnAssigned","2022-05-01","2024-05-01"
"57","Scanner","Scanner","ModelDEF","Document scanner","Room106","UnAssigned","2022-06-01","2024-06-01"
"58","Phone","Phone","ModelGHI","Smartphone with advanced features","Room107","UnAssigned","2022-07-01","2024-07-01"
"59","Tablet","Tablet","ModelJKL","Portable tablet device","Room108","UnAssigned","2022-08-01","2024-08-01"
"60","Server","Server","ModelMNO","Enterprise-grade server","Room109","UnAssigned","2022-09-01","2024-09-01"
"61","Camera","Camera","ModelPQR","Professional-grade camera","Room110","UnAssigned","2022-10-01","2024-10-01"
"62","Laptop","Laptop","ModelABC","High-performance laptop","Room101","UnAssigned","2022-01-01","2024-01-01"
"63","Printer","Printer","ModelXYZ","Fast color printer","Room102","UnAssigned","2022-02-01","2024-02-01"
"64","Desktop","Desktop","Model123","Powerful desktop computer","Room103","UnAssigned","2022-03-01","2024-03-01"
"65","Monitor","Monitor","Model456","High-resolution monitor","Room104","UnAssigned","2022-04-01","2024-04-01"
"66","Projector","Projector","Model789","HD projector for presentations","Room105","UnAssigned","2022-05-01","2024-05-01"
"67","Scanner","Scanner","ModelDEF","Document scanner","Room106","UnAssigned","2022-06-01","2024-06-01"
"68","Phone","Phone","ModelGHI","Smartphone with advanced features","Room107","UnAssigned","2022-07-01","2024-07-01"
"69","Tablet","Tablet","ModelJKL","Portable tablet device","Room108","UnAssigned","2022-08-01","2024-08-01"
"70","Server","Server","ModelMNO","Enterprise-grade server","Room109","UnAssigned","2022-09-01","2024-09-01"
"71","Camera","Camera","ModelPQR","Professional-grade camera","Room110","UnAssigned","2022-10-01","2024-10-01"
"72","Laptop","Laptop","ModelABC","High-performance laptop","Room101","UnAssigned","2022-01-01","2024-01-01"
"73","Printer","Printer","ModelXYZ","Fast color printer","Room102","UnAssigned","2022-02-01","2024-02-01"
"74","Desktop","Desktop","Model123","Powerful desktop computer","Room103","UnAssigned","2022-03-01","2024-03-01"
"75","Monitor","Monitor","Model456","High-resolution monitor","Room104","UnAssigned","2022-04-01","2024-04-01"
"76","Projector","Projector","Model789","HD projector for presentations","Room105","UnAssigned","2022-05-01","2024-05-01"
"77","Scanner","Scanner","ModelDEF","Document scanner","Room106","UnAssigned","2022-06-01","2024-06-01"
"78","Phone","Phone","ModelGHI","Smartphone with advanced features","Room107","UnAssigned","2022-07-01","2024-07-01"
"79","Tablet","Tablet","ModelJKL","Portable tablet device","Room108","UnAssigned","2022-08-01","2024-08-01"
"80","Server","Server","ModelMNO","Enterprise-grade server","Room109","UnAssigned","2022-09-01","2024-09-01"
"81","Camera","Camera","ModelPQR","Professional-grade camera","Room110","UnAssigned","2022-10-01","2024-10-01"
"82","Laptop","Laptop","ModelABC","High-performance laptop","Room101","UnAssigned","2022-01-01","2024-01-01"
"83","Printer","Printer","ModelXYZ","Fast color printer","Room102","UnAssigned","2022-02-01","2024-02-01"
"84","Desktop","Desktop","Model123","Powerful desktop computer","Room103","UnAssigned","2022-03-01","2024-03-01"
"85","Monitor","Monitor","Model456","High-resolution monitor","Room104","UnAssigned","2022-04-01","2024-04-01"
"86","Projector","Projector","Model789","HD projector for presentations","Room105","UnAssigned","2022-05-01","2024-05-01"
"87","Scanner","Scanner","ModelDEF","Document scanner","Room106","UnAssigned","2022-06-01","2024-06-01"
"88","Phone","Phone","ModelGHI","Smartphone with advanced features","Room107","UnAssigned","2022-07-01","2024-07-01"
"89","Tablet","Tablet","ModelJKL","Portable tablet device","Room108","UnAssigned","2022-08-01","2024-08-01"
"90","Server","Server","ModelMNO","Enterprise-grade server","Room109","UnAssigned","2022-09-01","2024-09-01"
"91","Camera","Camera","ModelPQR","Professional-grade camera","Room110","UnAssigned","2022-10-01","2024-10-01"
"92","Laptop","Laptop","ModelABC","High-performance laptop","Room101","UnAssigned","2022-01-01","2024-01-01"
"93","Printer","Printer","ModelXYZ","Fast color printer","Room102","UnAssigned","2022-02-01","2024-02-01"
"94","Desktop","Desktop","Model123","Powerful desktop computer","Room103","UnAssigned","2022-03-01","2024-03-01"
"95","Monitor","Monitor","Model456","High-resolution monitor","Room104","UnAssigned","2022-04-01","2024-04-01"
"96","Projector","Projector","Model789","HD projector for presentations","Room105","UnAssigned","2022-05-01","2024-05-01"
"97","Scanner","Scanner","ModelDEF","Document scanner","Room106","UnAssigned","2022-06-01","2024-06-01"
"98","Phone","Phone","ModelGHI","Smartphone with advanced features","Room107","UnAssigned","2022-07-01","2024-07-01"
"99","Tablet","Tablet","ModelJKL","Portable tablet device","Room108","UnAssigned","2022-08-01","2024-08-01"
"100","Server","Server","ModelMNO","Enterprise-grade server","Room109","UnAssigned","2022-09-01","2024-09-01"
"101","Camera","Camera","ModelPQR","Professional-grade camera","Room110","UnAssigned","2022-10-01","2024-10-01"
"102","Laptop","Laptop","ModelABC","High-performance laptop","Room101","UnAssigned","2022-01-01","2024-01-01"
"103","Printer","Printer","ModelXYZ","Fast color printer","Room102","UnAssigned","2022-02-01","2024-02-01"
"104","Desktop","Desktop","Model123","Powerful desktop computer","Room103","UnAssigned","2022-03-01","2024-03-01"
"105","Monitor","Monitor","Model456","High-resolution monitor","Room104","UnAssigned","2022-04-01","2024-04-01"
"106","Projector","Projector","Model789","HD projector for presentations","Room105","UnAssigned","2022-05-01","2024-05-01"
"107","Scanner","Scanner","ModelDEF","Document scanner","Room106","UnAssigned","2022-06-01","2024-06-01"
"108","Phone","Phone","ModelGHI","Smartphone with advanced features","Room107","UnAssigned","2022-07-01","2024-07-01"
"109","Tablet","Tablet","ModelJKL","Portable tablet device","Room108","UnAssigned","2022-08-01","2024-08-01"
"110","Server","Server","ModelMNO","Enterprise-grade server","Room109","UnAssigned","2022-09-01","2024-09-01"
"111","Camera","Camera","ModelPQR","Professional-grade camera","Room110","UnAssigned","2022-10-01","2024-10-01"
"112","Laptop","Laptop","ModelABC","High-performance laptop","Room101","UnAssigned","2022-01-01","2024-01-01"
"113","Printer","Printer","ModelXYZ","Fast color printer","Room102","UnAssigned","2022-02-01","2024-02-01"
"114","Desktop","Desktop","Model123","Powerful desktop computer","Room103","UnAssigned","2022-03-01","2024-03-01"
"115","Monitor","Monitor","Model456","High-resolution monitor","Room104","UnAssigned","2022-04-01","2024-04-01"
"116","Projector","Projector","Model789","HD projector for presentations","Room105","UnAssigned","2022-05-01","2024-05-01"
"117","Scanner","Scanner","ModelDEF","Document scanner","Room106","UnAssigned","2022-06-01","2024-06-01"
"118","Phone","Phone","ModelGHI","Smartphone with advanced features","Room107","UnAssigned","2022-07-01","2024-07-01"
"119","Tablet","Tablet","ModelJKL","Portable tablet device","Room108","UnAssigned","2022-08-01","2024-08-01"
"120","Server","Server","ModelMNO","Enterprise-grade server","Room109","UnAssigned","2022-09-01","2024-09-01"
"121","Camera","Camera","ModelPQR","Professional-grade camera","Room110","UnAssigned","2022-10-01","2024-10-01"
"122","Laptop","Laptop","ModelABC","High-performance laptop","Room101","UnAssigned","2022-01-01","2024-01-01"
"123","Printer","Printer","ModelXYZ","Fast color printer","Room102","UnAssigned","2022-02-01","2024-02-01"
"124","Desktop","Desktop","Model123","Powerful desktop computer","Room103","UnAssigned","2022-03-01","2024-03-01"
"125","Monitor","Monitor","Model456","High-resolution monitor","Room104","UnAssigned","2022-04-01","2024-04-01"
"126","Projector","Projector","Model789","HD projector for presentations","Room105","UnAssigned","2022-05-01","2024-05-01"
"127","Scanner","Scanner","ModelDEF","Document scanner","Room106","UnAssigned","2022-06-01","2024-06-01"
"128","Phone","Phone","ModelGHI","Smartphone with advanced features","Room107","UnAssigned","2022-07-01","2024-07-01"
"129","Tablet","Tablet","ModelJKL","Portable tablet device","Room108","UnAssigned","2022-08-01","2024-08-01"
"130","Server","Server","ModelMNO","Enterprise-grade server","Room109","UnAssigned","2022-09-01","2024-09-01"
"131","Camera","Camera","ModelPQR","Professional-grade camera","Room110","UnAssigned","2022-10-01","2024-10-01"
"132","Dell Monitor","SecurityEquipment","1250","Dell Monitor Description","Room101","UnAssigned","2023-12-11","2025-12-12"
"133","Dell Monitor","SecurityEquipment","1250","Dell Monitor Description","Room101","UnAssigned","2023-12-11","2025-12-12"
